Site,NomSite,Distance,Arbre,Poids,Surface,Largeur,Longueur,CircArbre,dispersion,log_disp
4,Gornies,6.3,5,12.2,0.64939,0.49462,1.96441,31.5,0.053228688524590166,-2.9331577700008546
4,Gornies,6.3,5,17.2,0.68731,0.4826,2.12574,31.5,0.039959883720930234,-3.2198792350926486
4,Gornies,6.3,5,19,0.72717,0.45357,2.18268,31.5,0.03827210526315789,-3.263033970261696
4,Gornies,6.3,5,15.5,0.69217,0.46859,2.12574,31.5,0.04465612903225806,-3.108763712720425
4,Gornies,6.3,5,15.6,0.768,0.53166,2.03084,31.5,0.04923076923076923,-3.011236460089956
4,Gornies,6.3,5,14.7,0.77188,0.49962,2.21115,31.5,0.052508843537414966,-2.9467736752386724
4,Gornies,6.3,5,15.9,0.73494,0.50763,2.10676,31.5,0.04622264150943396,-3.0742855249806738
4,Gornies,6.3,5,15.2,0.68148,0.43054,2.2586,31.5,0.04483421052631579,-3.104783803157026
4,Gornies,6.3,5,14.2,0.63773,0.44055,2.18268,31.5,0.044910563380281696,-3.103082247310056
4,Gornies,6.3,5,19,0.66106,0.44155,2.09727,31.5,0.03479263157894737,-3.358349650858135
4,Gornies,6.3,5,17,0.50941,0.3204,2.14472,31.5,0.029965294117647062,-3.507715429747322
4,Gornies,6.3,5,24.8,0.79424,0.46158,2.28707,31.5,0.0320258064516129,-3.441213249576886
4,Gornies,6.3,5,14.9,0.89438,0.51965,2.37248,31.5,0.060025503355704696,-2.8129857511423055
4,Gornies,6.3,5,17.6,0.86424,0.51264,2.37248,31.5,0.04910454545454545,-3.013803673017514
4,Gornies,6.3,5,21.1,0.82244,0.4796,2.43891,31.5,0.0389781990521327,-3.244752787813757
4,Gornies,6.3,5,17.2,0.90799,0.48861,2.59075,31.5,0.052790116279069765,-2.9414312974767562
4,Gornies,6.3,5,24.6,0.65717,0.41051,2.11625,31.5,0.026714227642276423,-3.622558985003756
4,Gornies,6.3,5,22.7,0.65328,0.40951,2.21115,31.5,0.02877885462555066,-3.5481143758982285
4,Gornies,6.3,5,27.6,0.60565,0.4005,2.08778,31.5,0.021943840579710144,-3.8192687902424303
4,Gornies,6.3,5,24.4,0.58718,0.40551,2.05931,31.5,0.024064754098360657,-3.7270069945065445
4,Gornies,6.3,6,34.2,1.14563,0.56286,2.80831,19,0.03349795321637426,-3.396270940036355
4,Gornies,6.3,6,33.3,1.14563,0.62095,2.63279,19,0.0344033033033033,-3.3696026929541936
4,Gornies,6.3,6,34.4,1.00705,0.5619,2.47575,19,0.029274709302325584,-3.531031299442599
4,Gornies,6.3,6,29.8,0.96085,0.5419,2.4388,19,0.032243288590604026,-3.4344453631150595
4,Gornies,6.3,6,24.1,0.93314,0.49524,2.61432,19,0.03871950207468879,-3.2514118762977486
4,Gornies,6.3,6,30.6,0.95161,0.54762,2.40185,19,0.031098366013071893,-3.4706000009498186
4,Gornies,6.3,6,25.9,0.87216,0.48286,2.42956,19,0.033674131274131276,-3.391025354371658
4,Gornies,6.3,6,30.2,0.77515,0.44762,2.35566,19,0.02566721854304636,-3.6625406443505897
4,Gornies,6.3,6,39,0.88787,0.46,2.62356,19,0.022765897435897436,-3.782491589233008
4,Gornies,6.3,6,33.6,0.86569,0.45905,2.62356,19,0.02576458333333333,-3.658754469142017
4,Gornies,6.3,6,25.5,0.78716,0.46571,2.39261,19,0.030869019607843134,-3.4780021997076287
4,Gornies,6.3,6,20.1,0.82134,0.49048,2.25404,19,0.04086268656716417,-3.1975379412116913
4,Gornies,6.3,6,30.6,1.16411,0.6181,2.64203,19,0.03804281045751634,-3.269043162395882
4,Gornies,6.3,6,30.5,1.06248,0.52571,2.73441,19,0.034835409836065576,-3.3571208855035075
4,Gornies,6.3,6,25.4,0.77977,0.46,2.21709,19,0.0306996062992126,-3.483505448601098
4,Gornies,6.3,6,31.3,0.98857,0.53238,2.54042,19,0.031583706070287536,-3.455113922059592
4,Gornies,6.3,6,34.3,1.01629,0.56286,2.59584,19,0.02962944606413994,-3.518986612673007
4,Gornies,6.3,6,24.1,1.2565,0.61905,2.80831,19,0.052136929460580905,-2.9538817624950995
4,Gornies,6.3,6,33.9,0.73727,0.43143,2.25404,19,0.021748377581120946,-3.8282161182011634
4,Gornies,6.3,6,32.4,0.80749,0.48095,2.33718,19,0.024922530864197535,-3.691983030661219
4,Gornies,6.3,7,32.4,1.19537,0.62031,2.71991,47.5,0.03689413580246914,-3.29970266190729
4,Gornies,6.3,7,62.1,1.56571,0.6106,3.50425,47.5,0.02521272141706924,-3.6804065937049004
4,Gornies,6.3,7,32.6,1.3473,0.55736,3.22322,47.5,0.0413282208588957,-3.186209698592997
4,Gornies,6.3,7,28.3,1.24506,0.56084,2.90566,47.5,0.04399505300353357,-3.123678083122671
4,Gornies,6.3,7,29.3,1.11709,0.58051,2.635,47.5,0.0381259385665529,-3.26686042621849
4,Gornies,6.3,7,31.7,1.15569,0.59388,2.62848,47.5,0.036457097791798114,-3.3116191126859698
4,Gornies,6.3,7,29.8,1.34372,0.57544,3.04187,47.5,0.04509127516778524,-3.0990665064481377
4,Gornies,6.3,7,26,1.04452,0.55216,2.61121,47.5,0.04017384615384615,-3.214539088272654
4,Gornies,6.3,7,41.7,1.31584,0.58505,3.30607,47.5,0.03155491606714628,-3.456025883840257
4,Gornies,6.3,7,18.6,0.71315,0.3833,3.21862,47.5,0.03834139784946236,-3.2612250827318614
4,Gornies,6.3,7,24.1,0.95158,0.56877,2.34881,47.5,0.03948464730290456,-3.231843358504941
4,Gornies,6.3,7,38.1,1.29403,0.60838,2.92088,47.5,0.03396404199475066,-3.382452902396878
4,Gornies,6.3,7,26.4,1.11959,0.52857,2.75091,47.5,0.042408712121212125,-3.160401463294341
4,Gornies,6.3,7,23.4,0.94443,0.50123,2.51581,47.5,0.04036025641025641,-3.209909730438208
